created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2024-12-28T04:04:07+00:00,1,50.9286412512219,20.8,60.5,153,0.7833486795425415,,,,
2024-12-28T06:04:13+00:00,2,51.2218963831867,20.5,61.0,115,0.7507359981536865,,,,
2024-12-28T08:04:16+00:00,3,50.83088954056696,17.7,51.0,85,0.7717805504798889,,,,
2024-12-28T10:04:21+00:00,4,50.9286412512219,18.0,52.1,58,0.7422699332237244,,,,
2024-12-28T12:04:25+00:00,5,50.83088954056696,17.8,48.9,52,0.786500096321106,,,,
2024-12-28T14:04:29+00:00,6,50.43988269794721,16.7,51.0,51,0.8103170394897461,,,,
2024-12-28T16:04:34+00:00,7,50.9286412512219,17.8,54.5,49,0.7244702577590942,,,,
2024-12-28T18:04:38+00:00,8,50.53763440860215,17.6,49.2,50,0.8115067481994629,,,,
2024-12-29T00:00:12+00:00,9,50.146627565982406,15.6,53.1,54,0.8299749493598938,,,,
2024-12-29T02:00:18+00:00,10,50.43988269794721,19.8,59.3,53,0.8066843152046204,,,,
2024-12-29T04:00:21+00:00,11,50.53763440860215,18.5,51.2,53,0.787244975566864,,,,
2024-12-29T06:00:25+00:00,12,50.53763440860215,17.2,53.0,53,0.7683139443397522,,,,
2024-12-29T08:00:29+00:00,13,50.24437927663734,17.6,52.5,53,0.7997342348098755,,,,
2024-12-29T10:00:33+00:00,14,51.417399804496576,19.5,58.0,55,0.7218389511108398,,,,
2024-12-29T12:00:36+00:00,15,52.101661779081134,19.4,59.9,56,0.6489545106887817,,,,
2024-12-29T14:00:40+00:00,16,52.39491691104594,19.5,51.6,55,0.6472285985946655,,,,
2024-12-29T16:00:43+00:00,17,52.785923753665685,19.4,55.6,54,0.6058509349822998,,,,
2024-12-29T18:00:07+00:00,18,52.68817204301075,19.4,57.0,54,0.5828248262405396,,,,
2024-12-29T20:00:14+00:00,19,53.0791788856305,20.3,57.0,54,0.5864048600196838,,,,
2024-12-29T22:00:17+00:00,20,53.3724340175953,19.8,55.8,54,0.5320946574211121,,,,
2024-12-30T00:00:21+00:00,21,54.05669599217986,21.0,60.3,55,0.5099811553955078,,,,
2024-12-30T02:00:24+00:00,22,54.154447702834794,20.5,59.3,55,0.5036434531211853,,,,
2024-12-30T04:00:28+00:00,23,54.83870967741935,19.9,50.4,55,0.35323524475097656,,,,
2024-12-30T06:00:32+00:00,24,55.32746823069403,19.5,50.1,55,0.30349427461624146,,,,
2024-12-30T08:00:35+00:00,25,55.5229716520039,18.9,49.7,55,0.27126458287239075,,,,
2024-12-30T10:00:38+00:00,26,55.718475073313776,18.9,53.3,55,0.3075917065143585,,,,
2024-12-30T12:00:42+00:00,27,56.20723362658846,19.3,50.8,55,0.2507984936237335,,,,
2024-12-30T14:00:45+00:00,28,56.20723362658846,18.0,49.2,54,0.22928862273693085,,,,
2024-12-30T16:00:48+00:00,29,56.20723362658846,19.7,58.8,49,0.3420977294445038,,,,
2024-12-30T18:00:51+00:00,30,56.30498533724341,19.8,64.1,49,0.29536840319633484,,,,
2024-12-30T20:00:55+00:00,31,56.50048875855328,20.4,63.9,48,0.29808011651039124,,,,
2024-12-30T22:00:58+00:00,32,56.598240469208214,19.8,58.3,49,0.32041242718696594,,,,
2024-12-31T00:01:02+00:00,33,56.598240469208214,20.5,61.6,40,0.34015464782714844,,,,
2024-12-31T02:01:05+00:00,34,56.695992179863154,21.1,63.6,39,0.3075687289237976,,,,
2024-12-31T04:01:09+00:00,35,56.79374389051809,21.1,63.0,39,0.31874722242355347,,,,
2024-12-31T06:01:12+00:00,36,56.695992179863154,20.3,64.6,39,0.2674657106399536,,,,
2024-12-31T08:01:15+00:00,37,56.98924731182796,20.7,64.2,39,0.2679239809513092,,,,
2024-12-31T10:01:18+00:00,38,57.0869990224829,19.9,63.2,42,0.27479174733161926,,,,
2024-12-31T12:41:18+00:00,39,57.0869990224829,19.9,60.0,47,0.16432765126228333,,,,
2024-12-31T14:41:22+00:00,40,56.98924731182796,20.2,57.7,40,0.2164531946182251,,,,
2024-12-31T16:41:25+00:00,41,56.98924731182796,21.1,57.4,39,0.23961928486824036,,,,
2024-12-31T18:41:29+00:00,42,57.18475073313783,21.3,58.2,41,0.21448728442192078,,,,
2024-12-31T20:41:34+00:00,43,57.0869990224829,21.4,55.4,39,0.2709895074367523,,,,
2024-12-31T22:41:37+00:00,44,57.18475073313783,21.5,58.6,39,0.21155110001564026,,,,
2025-01-01T00:41:40+00:00,45,57.0869990224829,21.7,60.5,39,0.19779345393180847,,,,
2025-01-01T02:41:44+00:00,46,57.18475073313783,22.0,58.2,39,0.2284547984600067,,,,
2025-01-01T04:41:47+00:00,47,57.0869990224829,21.4,56.6,39,0.2511821985244751,,,,
2025-01-01T06:41:50+00:00,48,56.98924731182796,21.3,57.6,39,0.24017921090126038,,,,
2025-01-01T08:41:53+00:00,49,57.0869990224829,21.4,57.7,40,0.23278123140335083,,,,
2025-01-01T10:41:56+00:00,50,56.79374389051809,20.7,58.5,41,0.22811657190322876,,,,
2025-01-01T12:42:01+00:00,51,56.79374389051809,21.1,62.2,40,0.1906285583972931,,,,
