Soil Moisture (%),Temperature (°C),Humidity (%),Light Level (lx),Valve Duration (s)
32.154225403323395,12.270302919981589,77.50020106438176,670.5672066108124,2.1
42.671657508932945,14.248906818190285,72.92602811409,122.33598425041392,1.0
71.91729330110287,11.830230295718405,41.27961371533064,369.6357753184556,0.0
64.25374665679976,10.319949894290785,70.85206380966784,1162.00127279368,0.0
54.52935851202173,12.418729072150882,45.8092405467793,417.0753418160645,0.7
77.08589952839851,13.078552255310822,74.05616405003612,386.985485250512,0.0
73.43421852751283,14.729304557562347,75.28175846177092,609.6139098024939,0.0
38.12215099823064,18.94049163988443,45.36657809538059,1414.2311561453748,2.5
34.66478300648905,15.460731572719894,76.22660637421649,36.70778044145423,1.6
59.840212461022546,10.530060591745642,43.88378615307391,1134.3564282605932,0.6
49.4381296234406,14.52160695723953,76.79049372967742,1065.0339772207815,0.9
50.58634938014693,18.7333564494079,51.30052135883073,823.8669451984268,1.2
46.07685894292032,18.74222044709885,53.22227881139964,1301.5991921406987,1.7
73.7670360431641,11.30599736149443,44.51517292653617,198.64334071688165,0.0
33.89521336549028,15.444037087292761,45.573671071073306,511.32672281894946,2.4
51.435499748015026,13.063049398310252,42.00246490899411,1023.5996615717263,1.2
69.72439819638558,13.840195922814445,61.13080774793653,356.7070778352867,0.0
74.59335768966457,17.19782740015547,76.01947313961949,213.85023147235106,0.0
58.15632612325066,14.612534647252012,68.1443662264808,542.9598263586983,0.1
74.23440565303707,10.326618851824733,68.94000091535415,555.7537328360092,0.0
37.086821563156434,21.767947119108246,62.29013372802391,1291.8509949645395,2.4
69.84890069444327,19.75056452574624,41.011388862059576,994.8567004186563,0.0
32.85665342560525,20.52648423908998,78.73866622156075,706.133013619459,2.1
70.09413531027073,16.44316037151189,70.75277246951717,349.0594052343848,0.0
60.86400215920772,17.633615417078378,46.90868177724238,1419.760924960329,0.0
34.483260067881076,14.746462633753127,47.93667335198749,1125.783028855939,2.7
32.376295586285984,19.381243902258092,70.09945051605001,1430.6898483481448,2.6
59.02307834252731,19.69205369706467,61.20998787154461,1426.3472186496977,0.6
65.83473909755429,11.365736627042613,74.76381863088311,1040.3044425034477,0.0
66.95231839605098,13.909715433150915,49.259654816930116,602.9014658266393,0.0
41.25582158791329,11.300740297582813,44.07731317235264,834.9354250247656,2.0
57.57837966587131,20.64260675105234,74.08690536817797,260.5149570959649,0.0
56.79635979961272,12.028964915127748,57.975029890995586,447.768088886074,0.3
63.22830310996544,12.818062792883318,77.36241905011136,1075.055528241563,0.0
46.64776210155428,13.421137814047658,76.42892581171651,149.91546496106557,0.7
36.96361280705381,11.473669630169656,64.9914176899927,1026.4965838438436,2.1
62.96841403690699,18.178268578650684,43.036474766083614,1171.0492471642483,0.0
33.89026727523038,20.126464388035643,48.68796628312519,879.6173117478651,2.6
34.78342443331658,14.284397985216609,77.45629010777984,1143.3900561224307,2.1
66.89313880329395,13.591637638267128,76.15668579683614,446.7764894743756,0.0
35.88402702951831,16.470801891826092,75.2833272553075,999.046361453468,2.0
69.59734065443419,18.10084933440495,74.35409499862095,948.7830016932849,0.0
79.06264455639452,10.795826377689956,58.22074101852032,382.19203545083536,0.0
66.69066916385732,20.33809848768995,62.19887330552754,694.630095289317,0.0
71.42649483038878,18.473516066983443,44.7234913016782,610.7758845307592,0.0
78.00818571215436,15.450252466644045,74.59452158919825,774.48980162997,0.0
46.08220949888343,16.891787890275996,48.501835563569266,841.4640231735075,1.6
31.74902572806272,16.474516091671347,48.03236110657813,1387.8449699826424,3.0
67.66972481860313,11.264570904591954,71.70060852215283,1036.458484439593,0.0
43.135915373021156,11.713836875595407,43.6346682321374,41.884043045941624,1.4
72.23958971050325,21.815794891260424,44.6341744579704,820.085968535332,0.0
38.436942127926095,20.397977318789373,66.51228249076513,385.2425072815487,1.7
48.61238532976037,21.16821433643223,60.60462646793829,903.2247680531109,1.2
47.956622950178215,17.032983558914083,71.07644952728592,1207.4489302738295,1.2
64.83784918978043,19.17339440739145,73.67796147893552,865.9558020853291,0.0
58.767958822088254,21.100382321799998,54.78954271230955,7.796805262134388,0.1
34.19446078533975,13.48349323602336,56.057541762875026,1338.1869004680004,2.7
44.60795212914812,14.250570529493825,74.03020747195235,1062.4316420007283,1.3
43.69929757120528,18.248883489212616,45.022193173257705,1447.4001685597743,2.1
54.62111698023918,19.635515270745763,62.093505547321286,212.31839550479788,0.3
70.55293492975514,14.128752996404414,72.17746706549293,522.2440184357482,0.0
46.683225647611124,18.879146211476424,48.45905611428163,477.0336522460915,1.3
39.578852210296404,19.680670273768698,54.37288835843343,1073.3373585218615,2.2
79.88629897121237,13.193968356723323,47.5974530567797,1210.8242014035998,0.0
36.55379373474613,14.589252611912194,55.877459470145155,750.1661221445074,2.2
55.068571570110876,17.704194577505383,58.18571902957427,1401.1451464568638,0.9
64.08895354686797,19.940929006125202,53.84897259372858,1233.5547843213324,0.0
62.2082582664995,12.932337230530823,48.57040161245712,1143.9408448406666,0.0
71.64499050930536,20.132347043638376,58.91856514747464,147.6571336771394,0.0
59.5788338458054,17.86882454835739,55.21081068934247,1455.8411653516678,0.7
75.1781286492372,18.01398576999007,56.82517120044109,474.294772254774,0.0
32.5942276588321,12.187705598969933,69.88969622717676,1133.0451179018758,2.5
42.43754401091339,13.849806638579118,42.48111211895755,760.1509491355407,1.8
